"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.00057499,1,0,0,0,0.025
-6.7466e-06,0.00173,0,0.00054412,1,0.001,0.001,0,0.025
-1.3493e-05,0.00346,0,0.00051326,1,0.002,0.002,0,0.025
-2.9398e-05,0.0051602,0,0.00045327,1,0.003,0.003,0,0.025
-4.5373e-05,0.0068601,0,0.00039305,1,0.004,0.004,0,0.025
-7.2783e-05,0.0085378,0,0.0003363,1,0.005,0.005,0,0.025
-0.00010077,0.010214,0,0.00027973,1,0.006,0.006,0,0.025
-0.00013883,0.01187,0,0.00022612,1,0.007,0.007,0,0.025
-0.0001783,0.013523,0,0.00017293,1,0.008,0.008,0,0.025
-0.00022638,0.015158,0,0.00012054,1,0.009,0.009,0,0.025
-0.00027704,0.016787,0,6.8395e-05,1,0.01,0.01,0,0.025
-0.00033473,0.0184,0,1.6668e-05,1,0.011,0.011,0,0.025
-0.00039659,0.020005,0,-3.481e-05,1,0.012,0.012,0,0.025
-0.00046349,0.021599,0,-8.5909e-05,1,0.013,0.013,0,0.025
-0.00053656,0.023179,0,-0.00013654,1,0.014,0.014,0,0.025
-0.00061229,0.024754,0,-0.00018696,1,0.015,0.015,0,0.025
-0.00069656,0.02631,0,-0.00023668,1,0.016,0.016,0,0.025
-0.00078083,0.027865,0,-0.0002864,1,0.017,0.017,0,0.025
-0.00087614,0.029397,0,-0.00033521,1,0.018,0.018,0,0.025
-0.00097159,0.030927,0,-0.00038402,1,0.019,0.019,0,0.025
-0.0010748,0.03244,0,-0.00043219,1,0.02,0.02,0,0.025
-0.0011814,0.033946,0,-0.00048008,1,0.021,0.021,0,0.025
-0.0012922,0.035442,0,-0.00052764,1,0.022,0.022,0,0.025
-0.0014099,0.036922,0,-0.00057462,1,0.023,0.023,0,0.025
-0.0015278,0.038401,0,-0.0006216,1,0.024,0.024,0,0.025
-0.0016566,0.039856,0,-0.00066768,1,0.025,0.025,0,0.025
-0.0017854,0.04131,0,-0.00071375,1,0.026,0.026,0,0.025
-0.0019209,0.042748,0,-0.00075928,1,0.027,0.027,0,0.025
-0.0020608,0.044177,0,-0.00080445,1,0.028,0.028,0,0.025
-0.0022025,0.045601,0,-0.00084946,1,0.029,0.029,0,0.025
-0.0023533,0.047003,0,-0.00089373,1,0.03,0.03,0,0.025
-0.0025041,0.048405,0,-0.000938,1,0.031,0.031,0,0.025
-0.0026624,0.049789,0,-0.00098164,1,0.032,0.032,0,0.025
-0.0028241,0.051165,0,-0.001025,1,0.033,0.033,0,0.025
-0.0029877,0.052536,0,-0.0010682,1,0.034,0.034,0,0.025
-0.0031603,0.053885,0,-0.0011107,1,0.035,0.035,0,0.025
-0.0033328,0.055234,0,-0.0011532,1,0.036,0.036,0,0.025
-0.003512,0.056566,0,-0.0011951,1,0.037,0.037,0,0.025
-0.0036953,0.057889,0,-0.0012367,1,0.038,0.038,0,0.025
-0.0038787,0.059211,0,-0.0012783,1,0.039,0.039,0,0.025
-0.0040727,0.060506,0,-0.001319,1,0.04,0.04,0,0.025
-0.0042668,0.061801,0,-0.0013597,1,0.041,0.041,0,0.025
-0.0044646,0.063086,0,-0.0014001,1,0.042,0.042,0,0.025
-0.0046693,0.064354,0,-0.00144,1,0.043,0.043,0,0.025
-0.0048739,0.065622,0,-0.0014798,1,0.044,0.044,0,0.025
-0.0050856,0.066871,0,-0.0015191,1,0.045,0.045,0,0.025
-0.0053008,0.068112,0,-0.0015581,1,0.046,0.046,0,0.025
-0.0055159,0.069352,0,-0.0015971,1,0.047,0.047,0,0.025
-0.0057409,0.070567,0,-0.0016354,1,0.048,0.048,0,0.025
-0.0059664,0.07178,0,-0.0016735,1,0.049,0.049,0,0.025
-0.0061937,0.072988,0,-0.0017116,1,0.05,0.05,0,0.025
-0.0064296,0.074173,0,-0.0017489,1,0.051,0.051,0,0.025
-0.0066655,0.075358,0,-0.0017863,1,0.052,0.052,0,0.025
-0.0069047,0.076534,0,-0.0018233,1,0.053,0.053,0,0.025
-0.0071508,0.077691,0,-0.0018599,1,0.054,0.054,0,0.025
-0.0073969,0.078848,0,-0.0018964,1,0.055,0.055,0,0.025
-0.0076477,0.079993,0,-0.0019326,1,0.056,0.056,0,0.025
-0.0079039,0.081122,0,-0.0019684,1,0.057,0.057,0,0.025
-0.00816,0.082251,0,-0.0020041,1,0.058,0.058,0,0.025
-0.0084216,0.083365,0,-0.0020395,1,0.059,0.059,0,0.025
-0.0086877,0.084466,0,-0.0020745,1,0.06,0.06,0,0.025
-0.0089538,0.085567,0,-0.0021095,1,0.061,0.061,0,0.025
-0.0092256,0.086651,0,-0.0021441,1,0.062,0.062,0,0.025
-0.0095016,0.087724,0,-0.0021783,1,0.063,0.063,0,0.025
-0.0097775,0.088797,0,-0.0022126,1,0.064,0.064,0,0.025
-0.010059,0.089853,0,-0.0022465,1,0.065,0.065,0,0.025
-0.010344,0.090898,0,-0.00228,1,0.066,0.066,0,0.025
-0.01063,0.091942,0,-0.0023136,1,0.067,0.067,0,0.025
-0.01092,0.092972,0,-0.0023468,1,0.068,0.068,0,0.025
-0.011216,0.093988,0,-0.0023796,1,0.069,0.069,0,0.025
