"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.016329,1,0,0.5,-0.5,0.025
-0.00069854,5.1513e-08,0,0.016329,1,0.00099999,0.5,-0.499,0.025
-0.0013971,1.0303e-07,0,0.016329,1,0.002,0.5,-0.498,0.025
-0.0020861,2.1366e-07,0,0.01633,1,0.003,0.5,-0.497,0.025
-0.002775,3.2475e-07,0,0.01633,1,0.004,0.5,-0.496,0.025
-0.0034574,5.032e-07,0,0.01633,1,0.005,0.5,-0.495,0.025
-0.0041396,6.8505e-07,0,0.016331,1,0.006,0.5,-0.494,0.025
-0.0048158,9.1671e-07,0,0.016331,1,0.007,0.5,-0.493,0.025
-0.0054912,1.1553e-06,0,0.016331,1,0.008,0.5,-0.492,0.025
-0.0061614,1.4282e-06,0,0.016331,1,0.009,0.5,-0.491,0.025
-0.0068301,1.7114e-06,0,0.016331,1,0.01,0.5,-0.49,0.025
-0.0074946,2.0164e-06,0,0.016332,1,0.011,0.5,-0.489,0.025
-0.0081566,2.3345e-06,0,0.016332,1,0.012,0.5,-0.488,0.025
-0.0088157,2.6639e-06,0,0.016332,1,0.013,0.5,-0.487,0.025
-0.0094711,3.0074e-06,0,0.016332,1,0.014,0.5,-0.486,0.025
-0.010125,3.3546e-06,0,0.016332,1,0.015,0.5,-0.485,0.025
-0.010774,3.7141e-06,0,0.016332,1,0.016,0.5,-0.484,0.025
-0.011423,4.0736e-06,0,0.016332,1,0.017,0.5,-0.483,0.025
-0.012065,4.4398e-06,0,0.016332,1,0.018,0.5,-0.482,0.025
-0.012708,4.8062e-06,0,0.016332,1,0.019,0.5,-0.481,0.025
-0.013345,5.1712e-06,0,0.016332,1,0.02,0.5,-0.48,0.025
-0.013981,5.5355e-06,0,0.016331,1,0.021,0.5,-0.479,0.025
-0.014615,5.8959e-06,0,0.016331,1,0.022,0.5,-0.478,0.025
-0.015245,6.2496e-06,0,0.016331,1,0.023,0.5,-0.477,0.025
-0.015874,6.6031e-06,0,0.016331,1,0.024,0.5,-0.476,0.025
-0.016497,6.9382e-06,0,0.016331,1,0.025,0.5,-0.475,0.025
-0.017121,7.2732e-06,0,0.01633,1,0.026,0.5,-0.474,0.025
-0.01774,7.592e-06,0,0.01633,1,0.027,0.5,-0.473,0.025
-0.018357,7.9006e-06,0,0.01633,1,0.028,0.5,-0.472,0.025
-0.018973,8.2033e-06,0,0.016329,1,0.029,0.5,-0.471,0.025
-0.019585,8.4782e-06,0,0.016329,1,0.03,0.5,-0.47,0.025
-0.020196,8.753e-06,0,0.016329,1,0.031,0.5,-0.469,0.025
-0.020802,8.9999e-06,0,0.016328,1,0.032,0.5,-0.468,0.025
-0.021408,9.2343e-06,0,0.016328,1,0.033,0.5,-0.467,0.025
-0.022012,9.4608e-06,0,0.016327,1,0.034,0.5,-0.466,0.025
-0.022611,9.6488e-06,0,0.016326,1,0.035,0.5,-0.465,0.025
-0.02321,9.8367e-06,0,0.016326,1,0.036,0.5,-0.464,0.025
-0.023805,9.993e-06,0,0.016325,1,0.037,0.5,-0.463,0.025
-0.024399,1.0129e-05,0,0.016325,1,0.038,0.5,-0.462,0.025
-0.024992,1.0265e-05,0,0.016324,1,0.039,0.5,-0.461,0.025
-0.02558,1.0344e-05,0,0.016323,1,0.04,0.5,-0.46,0.025
-0.026167,1.0424e-05,0,0.016322,1,0.041,0.5,-0.459,0.025
-0.026753,1.0482e-05,0,0.016322,1,0.042,0.5,-0.458,0.025
-0.027335,1.0501e-05,0,0.016321,1,0.043,0.5,-0.457,0.025
-0.027917,1.052e-05,0,0.01632,1,0.044,0.5,-0.456,0.025
-0.028495,1.0497e-05,0,0.016319,1,0.045,0.5,-0.455,0.025
-0.029072,1.0452e-05,0,0.016318,1,0.046,0.5,-0.454,0.025
-0.029649,1.0408e-05,0,0.016317,1,0.047,0.5,-0.453,0.025
-0.03022,1.0303e-05,0,0.016316,1,0.048,0.5,-0.452,0.025
-0.030791,1.0193e-05,0,0.016315,1,0.049,0.5,-0.451,0.025
-0.031362,1.0073e-05,0,0.016314,1,0.05,0.5,-0.45,0.025
-0.031928,9.8978e-06,0,0.016313,1,0.051,0.5,-0.449,0.025
-0.032494,9.7222e-06,0,0.016311,1,0.052,0.5,-0.448,0.025
-0.033058,9.5247e-06,0,0.01631,1,0.053,0.5,-0.447,0.025
-0.033619,9.2834e-06,0,0.016309,1,0.054,0.5,-0.446,0.025
-0.03418,9.0421e-06,0,0.016308,1,0.055,0.5,-0.445,0.025
-0.034738,8.771e-06,0,0.016306,1,0.056,0.5,-0.444,0.025
-0.035294,8.4654e-06,0,0.016305,1,0.057,0.5,-0.443,0.025
-0.03585,8.1598e-06,0,0.016303,1,0.058,0.5,-0.442,0.025
-0.036403,7.8209e-06,0,0.016302,1,0.059,0.5,-0.441,0.025
-0.036954,7.4541e-06,0,0.0163,1,0.06,0.5,-0.44,0.025
-0.037505,7.0873e-06,0,0.016299,1,0.061,0.5,-0.439,0.025
-0.038053,6.6878e-06,0,0.016297,1,0.062,0.5,-0.438,0.025
-0.0386,6.2645e-06,0,0.016295,1,0.063,0.5,-0.437,0.025
-0.039146,5.8412e-06,0,0.016294,1,0.064,0.5,-0.436,0.025
-0.03969,5.3894e-06,0,0.016292,1,0.065,0.5,-0.435,0.025
-0.040231,4.9156e-06,0,0.01629,1,0.066,0.5,-0.434,0.025
-0.040773,4.4419e-06,0,0.016288,1,0.067,0.5,-0.433,0.025
-0.041313,3.9468e-06,0,0.016286,1,0.068,0.5,-0.432,0.025
-0.04185,3.4305e-06,0,0.016284,1,0.069,0.5,-0.431,0.025
-0.042387,2.9142e-06,0,0.016282,1,0.07,0.5,-0.43,0.025
-0.042923,2.3852e-06,0,0.01628,1,0.071,0.5,-0.429,0.025
-0.043456,1.8363e-06,0,0.016277,1,0.072,0.5,-0.428,0.025
-0.043989,1.2874e-06,0,0.016275,1,0.073,0.5,-0.427,0.025
-0.044521,7.3395e-07,0,0.016273,1,0.074,0.5,-0.426,0.025
-0.045049,1.6437e-07,0,0.01627,1,0.075,0.5,-0.425,0.025
-0.045578,-4.0522e-07,0,0.016268,1,0.076,0.5,-0.424,0.025
-0.046107,-9.7484e-07,0,0.016266,1,0.077,0.5,-0.423,0.025
-0.046632,-1.5509e-06,0,0.016263,1,0.078,0.5,-0.422,0.025
-0.047157,-2.127e-06,0,0.01626,1,0.079,0.5,-0.421,0.025
-0.047681,-2.7031e-06,0,0.016258,1,0.08,0.5,-0.42,0.025
-0.048203,-3.2718e-06,0,0.016255,1,0.081,0.5,-0.419,0.025
-0.048724,-3.8378e-06,0,0.016252,1,0.082,0.5,-0.418,0.025
-0.049245,-4.4038e-06,0,0.016249,1,0.083,0.5,-0.417,0.025
-0.049765,-4.9578e-06,0,0.016246,1,0.084,0.5,-0.416,0.025
-0.050282,-5.4946e-06,0,0.016243,1,0.085,0.5,-0.415,0.025
-0.050799,-6.0313e-06,0,0.01624,1,0.086,0.5,-0.414,0.025
-0.051317,-6.5663e-06,0,0.016237,1,0.087,0.5,-0.413,0.025
-0.05183,-7.0519e-06,0,0.016233,1,0.088,0.5,-0.412,0.025
-0.052344,-7.5375e-06,0,0.01623,1,0.089,0.5,-0.411,0.025
-0.052858,-8.0231e-06,0,0.016226,1,0.09,0.5,-0.41,0.025
-0.05337,-8.463e-06,0,0.016223,1,0.091,0.5,-0.409,0.025
-0.05388,-8.8727e-06,0,0.016219,1,0.092,0.5,-0.408,0.025
-0.05439,-9.2824e-06,0,0.016215,1,0.093,0.5,-0.407,0.025
-0.054901,-9.6804e-06,0,0.016212,1,0.094,0.5,-0.406,0.025
-0.055408,-9.9861e-06,0,0.016208,1,0.095,0.5,-0.405,0.025
-0.055915,-1.0292e-05,0,0.016204,1,0.096,0.5,-0.404,0.025
-0.056422,-1.0598e-05,0,0.0162,1,0.097,0.5,-0.403,0.025
-0.056928,-1.0827e-05,0,0.016196,1,0.098,0.5,-0.402,0.025
-0.057432,-1.0997e-05,0,0.016191,1,0.099,0.5,-0.401,0.025
-0.057936,-1.1167e-05,0,0.016187,1,0.1,0.5,-0.4,0.025
-0.058441,-1.1337e-05,0,0.016183,1,0.101,0.5,-0.399,0.025
-0.058942,-1.1344e-05,0,0.016178,1,0.102,0.5,-0.398,0.025
-0.059443,-1.1343e-05,0,0.016173,1,0.103,0.5,-0.397,0.025
-0.059945,-1.1343e-05,0,0.016169,1,0.104,0.5,-0.396,0.025
-0.060445,-1.1281e-05,0,0.016164,1,0.105,0.5,-0.395,0.025
-0.060944,-1.1071e-05,0,0.016159,1,0.106,0.5,-0.394,0.025
-0.061443,-1.0861e-05,0,0.016154,1,0.107,0.5,-0.393,0.025
-0.061942,-1.0651e-05,0,0.016149,1,0.108,0.5,-0.392,0.025
-0.062439,-1.0297e-05,0,0.016144,1,0.109,0.5,-0.391,0.025
-0.062935,-9.8344e-06,0,0.016138,1,0.11,0.5,-0.39,0.025
-0.063432,-9.372e-06,0,0.016133,1,0.111,0.5,-0.389,0.025
-0.063928,-8.9097e-06,0,0.016127,1,0.112,0.5,-0.388,0.025
-0.064422,-8.2103e-06,0,0.016122,1,0.113,0.5,-0.387,0.025
-0.064916,-7.4478e-06,0,0.016116,1,0.114,0.5,-0.386,0.025
-0.06541,-6.6852e-06,0,0.01611,1,0.115,0.5,-0.385,0.025
-0.065904,-5.9227e-06,0,0.016104,1,0.116,0.5,-0.384,0.025
-0.066396,-4.8278e-06,0,0.016098,1,0.117,0.5,-0.383,0.025
-0.066888,-3.7129e-06,0,0.016092,1,0.118,0.5,-0.382,0.025
-0.06738,-2.5979e-06,0,0.016085,1,0.119,0.5,-0.381,0.025
-0.067872,-1.4693e-06,0,0.016079,1,0.12,0.5,-0.38,0.025
-0.068362,5.5557e-08,0,0.016072,1,0.121,0.5,-0.379,0.025
-0.068852,1.5804e-06,0,0.016066,1,0.122,0.5,-0.378,0.025
-0.069342,3.1053e-06,0,0.016059,1,0.123,0.5,-0.377,0.025
-0.069831,4.6583e-06,0,0.016052,1,0.124,0.5,-0.376,0.025
-0.07032,6.6556e-06,0,0.016045,1,0.125,0.5,-0.375,0.025
-0.070808,8.6529e-06,0,0.016038,1,0.126,0.5,-0.374,0.025
-0.071296,1.065e-05,0,0.01603,1,0.127,0.5,-0.373,0.025
-0.071784,1.2659e-05,0,0.016023,1,0.128,0.5,-0.372,0.025
