"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0124,-4.1164e-24,-4.6748e-05,-0.024471,1,0,0.068,0,-0.15
1.0125,-1.233e-24,-7.5607e-05,-0.024476,1,0.00030171,0.068032,0,-0.1497
1.0125,4.6309e-25,-0.00011565,-0.024481,1,0.0006034,0.068064,0,-0.1494
1.0126,5.3633e-27,-0.00017264,-0.024486,1,0.00090511,0.068096,0,-0.1491
1.0128,-6.0264e-24,-0.00022833,-0.024492,1,0.0012068,0.068128,0,-0.1488
1.013,-1.1537e-23,-0.00028321,-0.024498,1,0.0015085,0.06816,0,-0.1485
1.0133,-4.2006e-24,-0.00033633,-0.024504,1,0.0018102,0.068192,0,-0.1482
1.0136,-2.327e-24,-0.00038793,-0.024511,1,0.0021119,0.068224,0,-0.1479
1.0139,-3.9282e-24,-0.00043844,-0.024519,1,0.0024136,0.068256,0,-0.1476
1.0142,-3.3828e-23,-0.00048633,-0.024527,1,0.0027153,0.068288,0,-0.1473
1.0146,-4.0037e-23,-0.00053313,-0.024535,1,0.003017,0.06832,0,-0.147
1.0149,-6.87e-24,-0.00057828,-0.024544,1,0.0033187,0.068352,0,-0.1467
1.0153,4.6457e-23,-0.00062154,-0.024553,1,0.0036204,0.068384,0,-0.1464
1.0157,8.4538e-23,-0.00066385,-0.024562,1,0.0039221,0.068416,0,-0.1461
1.0161,3.1612e-23,-0.00070443,-0.024572,1,0.0042238,0.068448,0,-0.1458
1.0165,-1.9571e-23,-0.00074399,-0.024583,1,0.0045255,0.06848,0,-0.1455
1.017,-6.9292e-23,-0.00078277,-0.024594,1,0.0048272,0.068512,0,-0.1452
1.0174,-4.1063e-23,-0.00082027,-0.024605,1,0.0051289,0.068544,0,-0.1449
1.0178,-7.1374e-24,-0.00085732,-0.024617,1,0.0054306,0.068576,0,-0.1446
1.0182,3.4841e-23,-0.00089374,-0.024629,1,0.0057323,0.068608,0,-0.1443
1.0186,4.1118e-23,-0.00092965,-0.024641,1,0.006034,0.06864,0,-0.144
1.019,3.0986e-23,-0.00096529,-0.024654,1,0.0063357,0.068672,0,-0.1437
1.0194,-2.7232e-24,-0.0010006,-0.024668,1,0.0066374,0.068704,0,-0.1434
1.0198,6.1519e-25,-0.0010357,-0.024682,1,0.0069391,0.068736,0,-0.1431
1.0202,4.2379e-23,-0.0010708,-0.024696,1,0.0072408,0.068768,0,-0.1428
1.0205,2.7202e-23,-0.0011057,-0.024711,1,0.0075425,0.0688,0,-0.1425
1.0209,-6.3855e-24,-0.0011406,-0.024726,1,0.0078442,0.068832,0,-0.1422
1.0213,-6.8126e-23,-0.0011755,-0.024741,1,0.008146,0.068864,0,-0.1419
1.0216,-6.6152e-23,-0.0012104,-0.024757,1,0.0084476,0.068896,0,-0.1416
1.022,-3.2734e-23,-0.0012453,-0.024774,1,0.0087494,0.068928,0,-0.1413
1.0223,8.2056e-24,-0.0012803,-0.024791,1,0.0090511,0.06896,0,-0.141
1.0226,6.2815e-25,-0.0013153,-0.024808,1,0.0093528,0.068992,0,-0.1407
1.023,-5.5394e-23,-0.0013502,-0.024826,1,0.0096545,0.069024,0,-0.1404
1.0233,2.2297e-23,-0.0013853,-0.024844,1,0.0099562,0.069056,0,-0.1401
1.0236,7.734e-23,-0.0014203,-0.024863,1,0.010258,0.069088,0,-0.1398
1.024,7.4001e-23,-0.0014554,-0.024882,1,0.01056,0.06912,0,-0.1395
1.0243,3.94e-23,-0.0014904,-0.024902,1,0.010861,0.069152,0,-0.1392
1.0246,-1.3515e-24,-0.0015254,-0.024922,1,0.011163,0.069184,0,-0.1389
1.0249,-3.204e-23,-0.0015605,-0.024942,1,0.011465,0.069216,0,-0.1386
1.0252,-6.8172e-23,-0.0015955,-0.024963,1,0.011766,0.069248,0,-0.1383
1.0255,-1.0535e-22,-0.0016305,-0.024984,1,0.012068,0.06928,0,-0.138
1.0258,-8.0454e-24,-0.0016655,-0.025006,1,0.01237,0.069312,0,-0.1377
1.0261,6.1686e-23,-0.0017005,-0.025028,1,0.012671,0.069344,0,-0.1374
1.0264,4.5075e-23,-0.0017354,-0.025051,1,0.012973,0.069376,0,-0.1371
1.0267,2.0167e-23,-0.0017703,-0.025074,1,0.013275,0.069408,0,-0.1368
1.027,2.0381e-24,-0.0018051,-0.025098,1,0.013577,0.06944,0,-0.1365
1.0273,2.2425e-23,-0.0018399,-0.025122,1,0.013878,0.069472,0,-0.1362
1.0276,3.1998e-23,-0.0018746,-0.025147,1,0.01418,0.069504,0,-0.1359
1.0279,1.7744e-23,-0.0019093,-0.025172,1,0.014482,0.069536,0,-0.1356
1.0282,2.6595e-23,-0.001944,-0.025197,1,0.014783,0.069568,0,-0.1353
1.0285,4.3145e-23,-0.0019785,-0.025223,1,0.015085,0.0696,0,-0.135
1.0287,4.867e-23,-0.0020131,-0.02525,1,0.015387,0.069632,0,-0.1347
1.029,1.2084e-23,-0.0020475,-0.025277,1,0.015688,0.069664,0,-0.1344
1.0293,-5.1901e-23,-0.0020819,-0.025304,1,0.01599,0.069696,0,-0.1341
1.0296,-5.2289e-23,-0.0021163,-0.025332,1,0.016292,0.069728,0,-0.1338
1.0298,-8.1003e-24,-0.0021506,-0.02536,1,0.016594,0.06976,0,-0.1335
1.0301,7.6321e-23,-0.0021848,-0.025389,1,0.016895,0.069792,0,-0.1332
1.0304,2.224e-23,-0.0022189,-0.025418,1,0.017197,0.069824,0,-0.1329
1.0307,-3.968e-23,-0.002253,-0.025448,1,0.017499,0.069856,0,-0.1326
1.0309,-5.9168e-23,-0.002287,-0.025478,1,0.0178,0.069888,0,-0.1323
1.0312,-8.3928e-23,-0.0023209,-0.025509,1,0.018102,0.06992,0,-0.132
1.0315,-1.2279e-22,-0.0023548,-0.02554,1,0.018404,0.069952,0,-0.1317
1.0317,-9.6445e-23,-0.0023885,-0.025572,1,0.018706,0.069984,0,-0.1314
1.032,-2.4749e-24,-0.0024223,-0.025604,1,0.019007,0.070016,0,-0.1311
1.0323,2.0869e-22,-0.0024559,-0.025637,1,0.019309,0.070048,0,-0.1308
1.0325,2.4546e-22,-0.0024894,-0.02567,1,0.019611,0.07008,0,-0.1305
1.0328,2.0422e-22,-0.0025229,-0.025703,1,0.019912,0.070112,0,-0.1302
1.0331,-2.3102e-23,-0.0025563,-0.025738,1,0.020214,0.070144,0,-0.1299
1.0333,-1.1301e-22,-0.0025896,-0.025772,1,0.020516,0.070176,0,-0.1296
1.0336,-1.2636e-22,-0.0026228,-0.025807,1,0.020817,0.070208,0,-0.1293
1.0338,-5.1025e-23,-0.002656,-0.025843,1,0.021119,0.07024,0,-0.129
1.0341,-3.9799e-24,-0.002689,-0.025879,1,0.021421,0.070272,0,-0.1287
1.0344,-6.0715e-25,-0.002722,-0.025915,1,0.021723,0.070304,0,-0.1284
1.0346,-3.231e-23,-0.0027549,-0.025953,1,0.022024,0.070336,0,-0.1281
1.0349,-6.5778e-23,-0.0027877,-0.02599,1,0.022326,0.070368,0,-0.1278
1.0351,-2.3813e-23,-0.0028204,-0.026028,1,0.022628,0.0704,0,-0.1275
1.0354,3.1339e-23,-0.002853,-0.026067,1,0.022929,0.070432,0,-0.1272
1.0356,9.8059e-23,-0.0028855,-0.026106,1,0.023231,0.070464,0,-0.1269
1.0359,1.0459e-22,-0.0029179,-0.026146,1,0.023533,0.070496,0,-0.1266
1.0361,1.1145e-22,-0.0029503,-0.026186,1,0.023834,0.070528,0,-0.1263
1.0364,1.1463e-22,-0.0029825,-0.026227,1,0.024136,0.07056,0,-0.126
1.0366,5.9925e-23,-0.0030147,-0.026268,1,0.024438,0.070592,0,-0.1257
1.0369,-8.9194e-24,-0.0030467,-0.026309,1,0.02474,0.070624,0,-0.1254
1.0371,-2.4275e-23,-0.0030787,-0.026352,1,0.025041,0.070656,0,-0.1251
1.0374,-2.4541e-23,-0.0031105,-0.026394,1,0.025343,0.070688,0,-0.1248
1.0376,3.7464e-24,-0.0031423,-0.026438,1,0.025645,0.07072,0,-0.1245
1.0379,-1.1187e-22,-0.003174,-0.026481,1,0.025946,0.070752,0,-0.1242
1.0381,-1.3406e-22,-0.0032055,-0.026526,1,0.026248,0.070784,0,-0.1239
1.0384,3.6471e-23,-0.003237,-0.026571,1,0.02655,0.070816,0,-0.1236
1.0386,8.5192e-23,-0.0032683,-0.026616,1,0.026851,0.070848,0,-0.1233
1.0389,7.1457e-23,-0.0032995,-0.026662,1,0.027153,0.07088,0,-0.123
1.0391,-6.3802e-23,-0.0033307,-0.026708,1,0.027455,0.070912,0,-0.1227
1.0394,-8.7806e-23,-0.0033617,-0.026756,1,0.027757,0.070944,0,-0.1224
1.0396,4.8196e-24,-0.0033926,-0.026803,1,0.028058,0.070976,0,-0.1221
1.0399,-6.0905e-23,-0.0034234,-0.026851,1,0.02836,0.071008,0,-0.1218
1.0401,-1.0376e-22,-0.0034541,-0.0269,1,0.028662,0.07104,0,-0.1215
1.0403,-3.1381e-23,-0.0034847,-0.026949,1,0.028963,0.071072,0,-0.1212
1.0406,5.1631e-23,-0.0035151,-0.026999,1,0.029265,0.071104,0,-0.1209
1.0408,1.3155e-22,-0.0035455,-0.027049,1,0.029567,0.071136,0,-0.1206
1.0411,1.0935e-22,-0.0035757,-0.0271,1,0.029868,0.071168,0,-0.1203
1.0413,6.4533e-23,-0.0036058,-0.027151,1,0.03017,0.0712,0,-0.12
1.0416,1.4139e-23,-0.0036358,-0.027203,1,0.030472,0.071232,0,-0.1197
1.0418,-1.349e-22,-0.0036657,-0.027256,1,0.030774,0.071264,0,-0.1194
1.042,-2.1819e-22,-0.0036954,-0.027309,1,0.031075,0.071296,0,-0.1191
1.0423,-4.9404e-23,-0.0037251,-0.027362,1,0.031377,0.071328,0,-0.1188
1.0425,1.5584e-22,-0.0037546,-0.027417,1,0.031679,0.07136,0,-0.1185
1.0428,3.708e-22,-0.0037839,-0.027471,1,0.03198,0.071392,0,-0.1182
1.043,-2.2293e-23,-0.0038132,-0.027527,1,0.032282,0.071424,0,-0.1179
1.0432,-3.0702e-22,-0.0038423,-0.027583,1,0.032584,0.071456,0,-0.1176
1.0435,-4.0489e-22,-0.0038713,-0.027639,1,0.032886,0.071488,0,-0.1173
1.0437,-2.1354e-22,-0.0039001,-0.027697,1,0.033187,0.07152,0,-0.117
1.044,7.7356e-23,-0.0039288,-0.027754,1,0.033489,0.071552,0,-0.1167
1.0442,4.1701e-22,-0.0039574,-0.027812,1,0.033791,0.071584,0,-0.1164
1.0444,5.8525e-22,-0.0039859,-0.027871,1,0.034092,0.071616,0,-0.1161
1.0447,5.9979e-22,-0.0040142,-0.027931,1,0.034394,0.071648,0,-0.1158
1.0449,2.0463e-22,-0.0040423,-0.027991,1,0.034696,0.07168,0,-0.1155
1.0452,-7.3477e-23,-0.0040703,-0.028051,1,0.034997,0.071712,0,-0.1152
1.0454,-2.6686e-22,-0.0040982,-0.028113,1,0.035299,0.071744,0,-0.1149
1.0456,-2.2867e-22,-0.0041259,-0.028174,1,0.035601,0.071776,0,-0.1146
1.0459,-1.6965e-22,-0.0041535,-0.028237,1,0.035903,0.071808,0,-0.1143
1.0461,1.016e-22,-0.0041809,-0.0283,1,0.036204,0.07184,0,-0.114
1.0464,8.1018e-23,-0.0042082,-0.028364,1,0.036506,0.071872,0,-0.1137
1.0466,-2.4495e-22,-0.0042353,-0.028428,1,0.036808,0.071904,0,-0.1134
1.0468,-2.7139e-22,-0.0042623,-0.028493,1,0.037109,0.071936,0,-0.1131
1.0471,-2.5656e-22,-0.0042891,-0.028558,1,0.037411,0.071968,0,-0.1128
1.0473,-2.2255e-22,-0.0043157,-0.028624,1,0.037713,0.072,0,-0.1125
1.0475,2.4355e-23,-0.0043422,-0.028691,1,0.038014,0.072032,0,-0.1122
1.0478,3.0546e-22,-0.0043685,-0.028758,1,0.038316,0.072064,0,-0.1119
1.048,4.0545e-22,-0.0043947,-0.028826,1,0.038618,0.072096,0,-0.1116
1.0483,2.1299e-22,-0.0044207,-0.028895,1,0.03892,0.072128,0,-0.1113
1.0485,-2.3326e-22,-0.0044465,-0.028964,1,0.039221,0.07216,0,-0.111
1.0487,1.3386e-22,-0.0044722,-0.029034,1,0.039523,0.072192,0,-0.1107
1.049,4.5307e-22,-0.0044976,-0.029105,1,0.039825,0.072224,0,-0.1104
1.0492,3.3823e-22,-0.0045229,-0.029176,1,0.040126,0.072256,0,-0.1101
1.0494,7.7247e-23,-0.004548,-0.029248,1,0.040428,0.072288,0,-0.1098
1.0497,-2.4906e-22,-0.004573,-0.02932,1,0.04073,0.07232,0,-0.1095
1.0499,-2.7573e-22,-0.0045978,-0.029393,1,0.041031,0.072352,0,-0.1092
1.0502,-2.8915e-22,-0.0046223,-0.029467,1,0.041333,0.072384,0,-0.1089
1.0504,-3.061e-22,-0.0046467,-0.029541,1,0.041635,0.072416,0,-0.1086
1.0506,3.0607e-25,-0.0046709,-0.029616,1,0.041937,0.072448,0,-0.1083
1.0509,2.2685e-22,-0.0046949,-0.029692,1,0.042238,0.07248,0,-0.108
1.0511,-7.3915e-23,-0.0047188,-0.029768,1,0.04254,0.072512,0,-0.1077
1.0513,-1.0075e-22,-0.0047424,-0.029845,1,0.042842,0.072544,0,-0.1074
1.0516,7.9203e-24,-0.0047658,-0.029923,1,0.043143,0.072576,0,-0.1071
1.0518,1.0422e-22,-0.004789,-0.030002,1,0.043445,0.072608,0,-0.1068
1.052,1.4079e-22,-0.004812,-0.030081,1,0.043747,0.07264,0,-0.1065
1.0523,3.7047e-23,-0.0048349,-0.03016,1,0.044048,0.072672,0,-0.1062
1.0525,-6.7829e-23,-0.0048574,-0.030241,1,0.04435,0.072704,0,-0.1059
1.0528,-2.3292e-22,-0.0048798,-0.030322,1,0.044652,0.072736,0,-0.1056
1.053,-4.8307e-22,-0.004902,-0.030404,1,0.044954,0.072768,0,-0.1053
1.0532,-1.8446e-22,-0.004924,-0.030486,1,0.045255,0.0728,0,-0.105
1.0535,5.5339e-22,-0.0049457,-0.030569,1,0.045557,0.072832,0,-0.1047
1.0537,4.3284e-22,-0.0049672,-0.030653,1,0.045859,0.072864,0,-0.1044
1.0539,1.5682e-22,-0.0049885,-0.030738,1,0.04616,0.072896,0,-0.1041
1.0542,-4.3908e-22,-0.0050096,-0.030823,1,0.046462,0.072928,0,-0.1038
1.0544,-2.9057e-22,-0.0050304,-0.030909,1,0.046764,0.07296,0,-0.1035
1.0547,1.0151e-22,-0.0050511,-0.030996,1,0.047065,0.072992,0,-0.1032
1.0549,2.2447e-23,-0.0050714,-0.031083,1,0.047367,0.073024,0,-0.1029
1.0551,-8.1481e-23,-0.0050916,-0.031171,1,0.047669,0.073056,0,-0.1026
1.0554,-2.5047e-22,-0.0051115,-0.03126,1,0.047971,0.073088,0,-0.1023
1.0556,1.6593e-23,-0.0051311,-0.03135,1,0.048272,0.07312,0,-0.102
1.0558,2.2545e-22,-0.0051505,-0.03144,1,0.048574,0.073152,0,-0.1017
1.0561,-7.0852e-24,-0.0051697,-0.031531,1,0.048876,0.073184,0,-0.1014
1.0563,6.7427e-23,-0.0051885,-0.031623,1,0.049177,0.073216,0,-0.1011
