"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0007,-7.8821e-24,1.4181e-05,-0.021067,1,0,0.068,0,-0.15
1.0007,-4.5728e-24,2.3107e-05,-0.021065,1,0.00030171,0.068032,1e-06,-0.1497
1.0007,-2.2048e-24,3.5669e-05,-0.021063,1,0.0006034,0.068064,2e-06,-0.1494
1.0008,-2.1137e-24,5.3751e-05,-0.021061,1,0.00090511,0.068096,3e-06,-0.1491
1.0008,-6.5741e-24,7.2205e-05,-0.02106,1,0.0012068,0.068128,4e-06,-0.1488
1.0009,-1.0554e-23,9.0904e-05,-0.021058,1,0.0015085,0.06816,5e-06,-0.1485
1.0009,-4.3391e-24,0.0001101,-0.021057,1,0.0018102,0.068192,6e-06,-0.1482
1.001,-7.1467e-25,0.00012973,-0.021057,1,0.0021119,0.068224,7e-06,-0.1479
1.0011,2.1951e-24,0.00014969,-0.021056,1,0.0024136,0.068256,8e-06,-0.1476
1.0012,-1.4135e-23,0.00017038,-0.021056,1,0.0027153,0.068288,9e-06,-0.1473
1.0013,-2.0243e-23,0.0001914,-0.021056,1,0.003017,0.06832,1e-05,-0.147
1.0014,-1.1084e-23,0.00021291,-0.021057,1,0.0033187,0.068352,1.1e-05,-0.1467
1.0016,2.1109e-23,0.00023499,-0.021057,1,0.0036204,0.068384,1.2e-05,-0.1464
1.0017,4.5025e-23,0.00025737,-0.021058,1,0.0039222,0.068416,1.3e-05,-0.1461
1.0018,1.0519e-24,0.0002803,-0.02106,1,0.0042238,0.068448,1.4e-05,-0.1458
1.002,-2.5235e-23,0.00030357,-0.021061,1,0.0045256,0.06848,1.5e-05,-0.1455
1.0021,-3.4821e-23,0.00032711,-0.021063,1,0.0048273,0.068512,1.6e-05,-0.1452
1.0022,-6.2417e-24,0.00035112,-0.021065,1,0.005129,0.068544,1.7e-05,-0.1449
1.0024,1.4444e-23,0.00037531,-0.021067,1,0.0054307,0.068576,1.8e-05,-0.1446
1.0025,2.2048e-23,0.00039977,-0.02107,1,0.0057324,0.068608,1.9e-05,-0.1443
1.0027,3.1435e-23,0.00042447,-0.021073,1,0.0060341,0.06864,2e-05,-0.144
1.0028,3.7404e-23,0.00044933,-0.021076,1,0.0063358,0.068672,2.1e-05,-0.1437
1.0029,6.6813e-25,0.00047439,-0.02108,1,0.0066375,0.068704,2.2e-05,-0.1434
1.0031,-1.4288e-23,0.00049959,-0.021083,1,0.0069392,0.068736,2.3e-05,-0.1431
1.0032,-1.066e-23,0.00052491,-0.021087,1,0.0072409,0.068768,2.4e-05,-0.1428
1.0034,-6.8656e-25,0.00055037,-0.021092,1,0.0075426,0.0688,2.5e-05,-0.1425
1.0035,-4.5774e-24,0.00057592,-0.021096,1,0.0078443,0.068832,2.6e-05,-0.1422
1.0037,-3.7715e-23,0.00060157,-0.021101,1,0.008146,0.068864,2.7e-05,-0.1419
1.0038,-4.092e-23,0.00062732,-0.021106,1,0.0084477,0.068896,2.8e-05,-0.1416
1.0039,-2.173e-23,0.00065315,-0.021111,1,0.0087494,0.068928,2.9e-05,-0.1413
1.0041,2.1136e-23,0.00067907,-0.021117,1,0.0090511,0.06896,3e-05,-0.141
1.0042,2.9361e-23,0.00070508,-0.021123,1,0.0093528,0.068992,3.1e-05,-0.1407
1.0043,-1.8551e-24,0.00073116,-0.021129,1,0.0096545,0.069024,3.2e-05,-0.1404
1.0045,1.8551e-23,0.00075735,-0.021136,1,0.0099562,0.069056,3.3e-05,-0.1401
1.0046,1.58e-23,0.0007836,-0.021143,1,0.010258,0.069088,3.4e-05,-0.1398
1.0048,-2.9508e-23,0.00080995,-0.02115,1,0.01056,0.06912,3.5e-05,-0.1395
