"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,0.035,0,-0.15
1.0015,-5.961e-22,-0.00013386,-0.01792,1,0.00030104,0.034975,0,-0.1497
1.0023,-7.4096e-22,-0.00021745,-0.017896,1,0.00060208,0.03495,0,-0.1494
1.0032,-9.0327e-23,-0.0003005,-0.017864,1,0.00090312,0.034925,0,-0.1491
1.004,2.7217e-22,-0.00036508,-0.017837,1,0.0012042,0.0349,0,-0.1488
1.0047,4.8284e-22,-0.00042461,-0.017812,1,0.0015052,0.034875,0,-0.1485
1.0054,4.8334e-22,-0.00048252,-0.017791,1,0.0018062,0.03485,0,-0.1482
1.0061,1.0384e-22,-0.00054372,-0.017772,1,0.0021073,0.034825,0,-0.1479
1.0067,-4.9009e-22,-0.00060719,-0.017754,1,0.0024083,0.0348,0,-0.1476
1.0073,-6.0366e-22,-0.00067561,-0.017738,1,0.0027094,0.034775,0,-0.1473
1.0078,-3.5985e-22,-0.00074574,-0.017723,1,0.0030104,0.03475,0,-0.147
1.0083,3.6524e-22,-0.00081792,-0.017708,1,0.0033114,0.034725,0,-0.1467
1.0087,-4.1683e-22,-0.00089211,-0.017695,1,0.0036125,0.0347,0,-0.1464
1.0092,-9.0296e-22,-0.00096713,-0.017683,1,0.0039135,0.034675,0,-0.1461
1.0096,1.5233e-22,-0.0010433,-0.017671,1,0.0042146,0.03465,0,-0.1458
1.0101,9.1849e-22,-0.0011202,-0.017661,1,0.0045156,0.034625,0,-0.1455
1.0105,1.4524e-21,-0.0011976,-0.01765,1,0.0048166,0.0346,0,-0.1452
1.0109,7.5236e-22,-0.0012756,-0.017641,1,0.0051177,0.034575,0,-0.1449
1.0113,4.5797e-22,-0.0013541,-0.017632,1,0.0054187,0.03455,0,-0.1446
1.0117,5.6583e-22,-0.0014328,-0.017624,1,0.0057198,0.034525,0,-0.1443
1.012,-2.5741e-22,-0.0015121,-0.017616,1,0.0060208,0.0345,0,-0.144
1.0124,-8.8554e-22,-0.0015915,-0.017609,1,0.0063218,0.034475,0,-0.1437
1.0127,-9.2423e-22,-0.0016713,-0.017602,1,0.0066229,0.03445,0,-0.1434
1.0131,-7.3364e-22,-0.0017514,-0.017596,1,0.0069239,0.034425,0,-0.1431
1.0134,-4.9944e-22,-0.0018317,-0.01759,1,0.007225,0.0344,0,-0.1428
1.0138,-5.0494e-22,-0.0019123,-0.017584,1,0.007526,0.034375,0,-0.1425
1.0141,-3.5315e-22,-0.0019931,-0.017579,1,0.007827,0.03435,0,-0.1422
1.0144,-6.574e-23,-0.0020741,-0.017575,1,0.0081281,0.034325,0,-0.1419
1.0147,5.777e-22,-0.0021554,-0.017571,1,0.0084291,0.0343,0,-0.1416
1.0151,8.7248e-22,-0.0022369,-0.017567,1,0.0087302,0.034275,0,-0.1413
1.0154,5.7508e-22,-0.0023186,-0.017563,1,0.0090312,0.03425,0,-0.141
1.0157,2.3401e-22,-0.0024006,-0.01756,1,0.0093322,0.034225,0,-0.1407
1.016,-4.5637e-23,-0.0024827,-0.017558,1,0.0096333,0.0342,0,-0.1404
1.0163,9.3722e-24,-0.002565,-0.017556,1,0.0099343,0.034175,0,-0.1401
1.0166,-3.6689e-22,-0.0026476,-0.017554,1,0.010235,0.03415,0,-0.1398
1.0169,-9.2858e-22,-0.0027303,-0.017552,1,0.010536,0.034125,0,-0.1395
1.0172,3.8727e-22,-0.0028133,-0.017551,1,0.010837,0.0341,0,-0.1392
1.0175,9.5223e-22,-0.0028965,-0.01755,1,0.011138,0.034075,0,-0.1389
1.0177,5.847e-22,-0.0029798,-0.017549,1,0.01144,0.03405,0,-0.1386
1.018,-7.1075e-22,-0.0030635,-0.017549,1,0.011741,0.034025,0,-0.1383
1.0183,-1.5801e-21,-0.0031473,-0.017549,1,0.012042,0.034,0,-0.138
1.0186,-8.8523e-22,-0.0032313,-0.01755,1,0.012343,0.033975,0,-0.1377
1.0189,-2.9551e-22,-0.0033155,-0.017551,1,0.012644,0.03395,0,-0.1374
1.0191,2.014e-22,-0.0033999,-0.017552,1,0.012945,0.033925,0,-0.1371
1.0194,1.312e-22,-0.0034846,-0.017553,1,0.013246,0.0339,0,-0.1368
1.0197,2.4493e-22,-0.0035695,-0.017555,1,0.013547,0.033875,0,-0.1365
1.0199,5.4262e-22,-0.0036545,-0.017557,1,0.013848,0.03385,0,-0.1362
1.0202,1.4106e-21,-0.0037399,-0.01756,1,0.014149,0.033825,0,-0.1359
1.0205,1.6169e-21,-0.0038254,-0.017563,1,0.01445,0.0338,0,-0.1356
1.0207,3.6264e-22,-0.0039112,-0.017566,1,0.014751,0.033775,0,-0.1353
1.021,-9.3975e-22,-0.0039972,-0.017569,1,0.015052,0.03375,0,-0.135
1.0212,-1.8023e-21,-0.0040834,-0.017573,1,0.015353,0.033725,0,-0.1347
1.0215,-1.6849e-22,-0.0041699,-0.017577,1,0.015654,0.0337,0,-0.1344
1.0217,6.4733e-22,-0.0042566,-0.017581,1,0.015955,0.033675,0,-0.1341
1.022,8.4897e-22,-0.0043435,-0.017586,1,0.016256,0.03365,0,-0.1338
1.0223,2.2612e-23,-0.0044308,-0.017591,1,0.016557,0.033625,0,-0.1335
1.0225,-2.3667e-22,-0.0045182,-0.017596,1,0.016858,0.0336,0,-0.1332
1.0228,4.0816e-22,-0.0046059,-0.017602,1,0.017159,0.033575,0,-0.1329
1.023,-4.575e-22,-0.0046938,-0.017608,1,0.01746,0.03355,0,-0.1326
1.0232,-1.2917e-21,-0.004782,-0.017614,1,0.017761,0.033525,0,-0.1323
