"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,0.03,0,-0.15
1.0001,4.9657e-23,-6.1742e-06,-0.021626,1,0.00030001,0.03,0,-0.1497
1.0004,1.314e-22,-1.6119e-05,-0.021626,1,0.0006,0.03,0,-0.1494
1.0006,1.2932e-22,-2.7419e-05,-0.021626,1,0.0009,0.03,0,-0.1491
1.0008,-1.1684e-21,-3.9453e-05,-0.021626,1,0.0012,0.03,0,-0.1488
1.0009,-4.0487e-21,-5.2405e-05,-0.021626,1,0.0015,0.03,0,-0.1485
1.0011,-4.4788e-22,-6.6143e-05,-0.021627,1,0.0018,0.03,0,-0.1482
1.0013,3.1228e-21,-8.0131e-05,-0.021627,1,0.0021,0.03,0,-0.1479
1.0015,3.8078e-21,-9.4412e-05,-0.021628,1,0.0024,0.03,0,-0.1476
1.0016,1.6183e-21,-0.00010884,-0.021629,1,0.0027,0.03,0,-0.1473
1.0018,-1.4617e-21,-0.00012335,-0.02163,1,0.003,0.03,0,-0.147
1.002,-1.0681e-21,-0.00013796,-0.021632,1,0.0033,0.03,0,-0.1467
1.0021,-1.3454e-21,-0.0001526,-0.021633,1,0.0036,0.03,0,-0.1464
1.0023,-2.2441e-21,-0.0001673,-0.021635,1,0.0039,0.03,0,-0.1461
1.0024,-3.2683e-23,-0.00018205,-0.021637,1,0.0042,0.03,0,-0.1458
1.0026,1.5238e-21,-0.00019685,-0.02164,1,0.0045,0.03,0,-0.1455
1.0027,1.1756e-21,-0.00021171,-0.021642,1,0.0048,0.03,0,-0.1452
1.0029,-8.8876e-22,-0.00022662,-0.021645,1,0.0051,0.03,0,-0.1449
1.003,-2.6259e-21,-0.00024158,-0.021648,1,0.0054,0.03,0,-0.1446
1.0032,4.7583e-22,-0.0002566,-0.021652,1,0.0057,0.03,0,-0.1443
1.0033,8.043e-22,-0.00027167,-0.021655,1,0.006,0.03,0,-0.144
1.0034,-9.4796e-22,-0.00028678,-0.021659,1,0.0063,0.03,0,-0.1437
1.0036,-8.449e-22,-0.00030197,-0.021664,1,0.0066,0.03,0,-0.1434
1.0037,2.3457e-22,-0.0003172,-0.021668,1,0.0069,0.03,0,-0.1431
1.0039,2.7594e-21,-0.00033249,-0.021673,1,0.0072,0.03,0,-0.1428
1.004,-2.8491e-22,-0.00034784,-0.021678,1,0.0075,0.03,0,-0.1425
1.0041,-3.4716e-21,-0.00036323,-0.021683,1,0.0078,0.03,0,-0.1422
1.0043,-2.3684e-21,-0.00037869,-0.021688,1,0.0081,0.03,0,-0.1419
1.0044,-5.5363e-22,-0.00039422,-0.021694,1,0.0084,0.03,0,-0.1416
1.0046,1.624e-21,-0.00040979,-0.0217,1,0.0087,0.03,0,-0.1413
1.0047,1.9557e-21,-0.00042544,-0.021707,1,0.009,0.03,0,-0.141
1.0048,1.0492e-21,-0.00044115,-0.021713,1,0.0093,0.03,0,-0.1407
1.005,-1.3205e-21,-0.00045692,-0.02172,1,0.0096,0.03,0,-0.1404
1.0051,-2.2631e-21,-0.00047277,-0.021727,1,0.0099,0.03,0,-0.1401
1.0052,-2.1256e-21,-0.00048868,-0.021735,1,0.0102,0.03,0,-0.1398
1.0054,1.8652e-22,-0.00050467,-0.021743,1,0.0105,0.03,0,-0.1395
