"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,0.03,0,-0.15
1.0004,3.2693e-23,4.7459e-05,-0.020621,1,0.00030001,0.03,0,-0.1497
1.0011,9.0276e-23,0.00012016,-0.020577,1,0.0006,0.03,0,-0.1494
1.0016,1.4172e-22,-6.2608e-05,-0.020528,1,0.0009,0.03,0,-0.1491
1.0022,-1.1685e-21,-0.0002062,-0.020508,1,0.0012,0.03,0,-0.1488
1.0027,-4.1423e-21,-0.00029788,-0.020525,1,0.0015,0.03,0,-0.1485
1.0032,-4.6419e-22,-0.00025231,-0.020545,1,0.0018,0.03,0,-0.1482
1.0036,3.192e-21,-0.00024879,-0.020565,1,0.0021,0.03,0,-0.1479
1.004,3.9112e-21,-0.00042502,-0.020585,1,0.0024,0.03,0,-0.1476
1.0044,1.6563e-21,-0.00047498,-0.020604,1,0.0027,0.03,0,-0.1473
1.0048,-1.5198e-21,-0.00046627,-0.020619,1,0.003,0.03,0,-0.147
1.005,-1.0941e-21,-0.00044993,-0.020595,1,0.0033,0.03,0,-0.1467
1.0053,-1.3692e-21,-0.00053184,-0.02057,1,0.0036,0.03,0,-0.1464
1.0056,-2.2939e-21,-0.00070624,-0.020546,1,0.0039,0.03,0,-0.1461
1.0059,-4.4021e-23,-0.00065735,-0.020523,1,0.0042,0.03,0,-0.1458
1.0062,1.5469e-21,-0.00065133,-0.0205,1,0.0045,0.03,0,-0.1455
1.0064,1.2147e-21,-0.00076487,-0.020478,1,0.0048,0.03,0,-0.1452
1.0067,-8.8985e-22,-0.0008852,-0.02049,1,0.0051,0.03,0,-0.1449
1.007,-2.6678e-21,-0.00097745,-0.020512,1,0.0054,0.03,0,-0.1446
1.0073,4.8829e-22,-0.00091236,-0.020535,1,0.0057,0.03,0,-0.1443
1.0076,8.0997e-22,-0.0009804,-0.020558,1,0.006,0.03,0,-0.144
1.0079,-9.9474e-22,-0.001147,-0.02058,1,0.0063,0.03,0,-0.1437
