"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,2.4044e-11,1,0,1.5,0,0.05
0.049433,1.5772e-18,0,2.4044e-11,1,0.001,1.5,0.001,0.05
0.098866,3.1545e-18,0,2.4044e-11,1,0.002,1.5,0.002,0.05
0.1483,4.7317e-18,0,2.4044e-11,1,0.003,1.5,0.003,0.05
0.19773,6.3089e-18,0,2.4045e-11,1,0.004,1.5,0.004,0.05
0.24716,7.8862e-18,0,2.4045e-11,1,0.005,1.5,0.005,0.05
0.2966,9.4634e-18,0,2.4045e-11,1,0.006,1.5,0.006,0.05
0.34603,1.1041e-17,0,2.4045e-11,1,0.007,1.5,0.007,0.05
0.39546,1.2618e-17,0,2.4045e-11,1,0.008,1.5,0.008,0.05
0.4449,1.4195e-17,0,2.4045e-11,1,0.009,1.5,0.009,0.05
0.49433,1.5772e-17,0,2.4046e-11,1,0.01,1.5,0.01,0.05
0.54276,-1.52e-17,0,2.4046e-11,1,0.011,1.5,0.011,0.05
0.59119,-4.6172e-17,0,2.4046e-11,1,0.012,1.5,0.012,0.05
0.63963,-7.7145e-17,0,2.4046e-11,1,0.013,1.5,0.013,0.05
0.68806,-1.0812e-16,0,2.4047e-11,1,0.014,1.5,0.014,0.05
0.73649,-1.3909e-16,0,2.4047e-11,1,0.015,1.5,0.015,0.05
0.78493,-1.7006e-16,0,2.4047e-11,1,0.016,1.5,0.016,0.05
0.83336,-2.0103e-16,0,2.4048e-11,1,0.017,1.5,0.017,0.05
0.88179,-2.3201e-16,0,2.4048e-11,1,0.018,1.5,0.018,0.05
0.93022,-2.6298e-16,0,2.4048e-11,1,0.019,1.5,0.019,0.05
0.97866,-2.9395e-16,0,2.4048e-11,1,0.02,1.5,0.02,0.05
1.0261,-3.0688e-16,0,2.4048e-11,1,0.021,1.5,0.021,0.05
1.0735,-3.1981e-16,0,2.4048e-11,1,0.022,1.5,0.022,0.05
1.121,-3.3274e-16,0,2.4048e-11,1,0.023,1.5,0.023,0.05
1.1684,-3.4567e-16,0,2.4048e-11,1,0.024,1.5,0.024,0.05
1.2158,-3.586e-16,0,2.4048e-11,1,0.025,1.5,0.025,0.05
1.2633,-3.7153e-16,0,2.4048e-11,1,0.026,1.5,0.026,0.05
1.3107,-3.8446e-16,0,2.4048e-11,1,0.027,1.5,0.027,0.05
1.3581,-3.9738e-16,0,2.4049e-11,1,0.028,1.5,0.028,0.05
1.4056,-4.1031e-16,0,2.4049e-11,1,0.029,1.5,0.029,0.05
1.453,-4.2324e-16,0,2.4049e-11,1,0.03,1.5,0.03,0.05
1.4994,-4.1916e-16,0,2.4049e-11,1,0.031,1.5,0.031,0.05
1.5459,-4.1508e-16,0,2.4049e-11,1,0.032,1.5,0.032,0.05
1.5923,-4.11e-16,0,2.4049e-11,1,0.033,1.5,0.033,0.05
1.6387,-4.0692e-16,0,2.4049e-11,1,0.034,1.5,0.034,0.05
1.6852,-4.0284e-16,0,2.4049e-11,1,0.035,1.5,0.035,0.05
1.7316,-3.9876e-16,0,2.405e-11,1,0.036,1.5,0.036,0.05
1.778,-3.9468e-16,0,2.405e-11,1,0.037,1.5,0.037,0.05
1.8245,-3.906e-16,0,2.405e-11,1,0.038,1.5,0.038,0.05
1.8709,-3.8652e-16,0,2.405e-11,1,0.039,1.5,0.039,0.05
1.9173,-3.8244e-16,0,2.405e-11,1,0.04,1.5,0.04,0.05
1.9628,-4.0663e-16,0,2.4051e-11,1,0.041,1.5,0.041,0.05
2.0082,-4.3083e-16,0,2.4052e-11,1,0.042,1.5,0.042,0.05
2.0536,-4.5503e-16,0,2.4052e-11,1,0.043,1.5,0.043,0.05
2.0991,-4.7923e-16,0,2.4053e-11,1,0.044,1.5,0.044,0.05
2.1445,-5.0343e-16,0,2.4054e-11,1,0.045,1.5,0.045,0.05
2.1899,-5.2763e-16,0,2.4054e-11,1,0.046,1.5,0.046,0.05
2.2354,-5.5183e-16,0,2.4055e-11,1,0.047,1.5,0.047,0.05
2.2808,-5.7603e-16,0,2.4056e-11,1,0.048,1.5,0.048,0.05
2.3262,-6.0022e-16,0,2.4056e-11,1,0.049,1.5,0.049,0.05
2.3717,-6.2442e-16,0,2.4057e-11,1,0.05,1.5,0.05,0.05
2.4161,-6.4009e-16,0,2.4058e-11,1,0.051,1.5,0.051,0.05
2.4605,-6.5575e-16,0,2.4058e-11,1,0.052,1.5,0.052,0.05
2.505,-6.7142e-16,0,2.4059e-11,1,0.053,1.5,0.053,0.05
2.5494,-6.8708e-16,0,2.406e-11,1,0.054,1.5,0.054,0.05
2.5938,-7.0275e-16,0,2.4061e-11,1,0.055,1.5,0.055,0.05
2.6383,-7.1841e-16,0,2.4061e-11,1,0.056,1.5,0.056,0.05
2.6827,-7.3408e-16,0,2.4062e-11,1,0.057,1.5,0.057,0.05
2.7271,-7.4974e-16,0,2.4063e-11,1,0.058,1.5,0.058,0.05
2.7716,-7.6541e-16,0,2.4064e-11,1,0.059,1.5,0.059,0.05
2.816,-7.8107e-16,0,2.4064e-11,1,0.06,1.5,0.06,0.05
2.8594,-7.878e-16,0,2.4064e-11,1,0.061,1.5,0.061,0.05
2.9029,-7.9454e-16,0,2.4064e-11,1,0.062,1.5,0.062,0.05
2.9463,-8.0127e-16,0,2.4064e-11,1,0.063,1.5,0.063,0.05
2.9897,-8.0801e-16,0,2.4064e-11,1,0.064,1.5,0.064,0.05
