"U:0","U:1","U:2","p","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.019786,-6.9273e-22,-0.0023325,-0.079111,0,-4.2424e-15,1.6963,6.2399e-14,0,-1.1519e-14,-2.1712e-21,-1,1.6432e-19,0.12,-0,-0.0118
0.0529,0,-0.00037215,-0.075241,0.068119,-3.6596e-15,-47.471,2.0796e-14,-5.2195e-16,-3.8058e-15,-3.6739e-18,-1,-5.2177e-16,0.12136,-1.2273e-23,-0.011857
0.064937,0,0.0019386,-0.071691,0.093773,4.8008e-15,-50.666,-2.3856e-14,-5.1835e-16,4.0867e-15,1.5468e-17,-1,-5.1812e-16,0.12271,-1.2273e-23,-0.011839
0.073541,0,0.0035276,-0.068981,0.11466,6.0565e-15,-51.652,-3.7118e-14,-4.3105e-16,4.2712e-15,2.0652e-17,-1,-4.3055e-16,0.12407,-1.2273e-23,-0.011785
0.079672,0,0.004745,-0.066433,0.1331,7.4178e-15,-52.049,-4.4871e-14,-3.4803e-16,4.737e-15,2.0691e-17,-1,-3.4741e-16,0.12542,-1.2273e-23,-0.011711
0.084028,0,0.0056654,-0.063929,0.1501,-5.2364e-16,-52.088,1.6575e-15,-3.1125e-16,-4.1095e-16,2.0938e-17,-1,-3.1054e-16,0.12678,-1.2273e-23,-0.011625
0.087391,0,0.0063091,-0.061505,0.16621,-1.0804e-15,-52.217,6.8347e-15,-3.1927e-16,-5.8547e-16,-1.0634e-09,-1,1.4863e-08,0.12813,-1.2273e-23,-0.01153
0.090048,0,0.0066961,-0.059138,0.1817,-3.6015e-15,-45.474,2.6108e-14,-3.3663e-16,-1.6556e-15,-1.5557e-09,-1,2.1016e-08,0.12949,-1.2273e-23,-0.011431
0.092956,0,0.0069377,-0.056816,0.19673,1.5661e-15,-45.442,-1.3482e-14,-3.4488e-16,5.5834e-16,-1.5675e-09,-1,2.1015e-08,0.13084,-1.2273e-23,-0.01133
0.095679,0,0.007073,-0.054537,0.21129,-9.6713e-16,-45.355,9.3753e-15,-3.428e-16,-2.7331e-16,-1.5515e-09,-1,2.1016e-08,0.13219,-1.2273e-23,-0.011229
0.09833,0,0.007123,-0.052304,0.22544,-2.4602e-16,-45.222,4.2879e-15,-3.4428e-16,6.4424e-17,-1.5183e-09,-1,2.1019e-08,0.13355,-1.2273e-23,-0.01113
0.10097,0,0.007083,-0.050131,0.2392,1.9773e-16,-45.116,6.9058e-15,-3.3915e-16,6.8048e-16,-1.4726e-09,-1,2.1022e-08,0.1349,-1.2273e-23,-0.011033
