"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,0.035,0,-0.15
1.0003,-2.6726e-22,-2.4803e-05,-0.02186,1,0.00030104,0.034975,0,-0.1497
1.0005,-2.6909e-22,-3.9694e-05,-0.021855,1,0.00060208,0.03495,0,-0.1494
1.0007,2.0539e-22,-5.3697e-05,-0.02185,1,0.00090312,0.034925,0,-0.1491
1.0009,-1.7277e-22,-6.3239e-05,-0.021845,1,0.0012042,0.0349,0,-0.1488
1.0011,-5.2332e-22,-7.1465e-05,-0.021841,1,0.0015052,0.034875,0,-0.1485
1.0013,2.1479e-22,-7.8897e-05,-0.021838,1,0.0018062,0.03485,0,-0.1482
1.0015,6.5717e-22,-8.6784e-05,-0.021836,1,0.0021073,0.034825,0,-0.1479
1.0016,8.8729e-22,-9.5004e-05,-0.021834,1,0.0024083,0.0348,0,-0.1476
1.0018,-2.5856e-22,-0.00010402,-0.021833,1,0.0027094,0.034775,0,-0.1473
1.002,-6.847e-22,-0.00011333,-0.021832,1,0.0030104,0.03475,0,-0.147
1.0021,-1.5477e-22,-0.000123,-0.021831,1,0.0033114,0.034725,0,-0.1467
1.0023,-2.5979e-22,-0.00013302,-0.021832,1,0.0036125,0.0347,0,-0.1464
1.0024,-2.5973e-22,-0.0001432,-0.021832,1,0.0039135,0.034675,0,-0.1461
1.0026,3.5976e-22,-0.00015359,-0.021833,1,0.0042146,0.03465,0,-0.1458
1.0027,6.333e-22,-0.00016413,-0.021834,1,0.0045156,0.034625,0,-0.1455
1.0029,6.7627e-22,-0.00017479,-0.021836,1,0.0048166,0.0346,0,-0.1452
1.003,-8.8469e-23,-0.0001856,-0.021838,1,0.0051177,0.034575,0,-0.1449
1.0032,-2.8816e-22,-0.00019651,-0.02184,1,0.0054187,0.03455,0,-0.1446
1.0033,8.8337e-23,-0.00020752,-0.021842,1,0.0057198,0.034525,0,-0.1443
1.0035,-3.0575e-22,-0.00021865,-0.021845,1,0.0060208,0.0345,0,-0.144
1.0036,-4.7938e-22,-0.00022986,-0.021849,1,0.0063218,0.034475,0,-0.1437
