"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0003,-9.0121e-24,1.6724e-05,-0.020984,1,0,0.068,0,-0.15
1.0003,-5.2098e-24,2.718e-05,-0.020982,1,0.00030171,0.068032,0,-0.1497
1.0003,-2.5025e-24,4.1873e-05,-0.02098,1,0.0006034,0.068064,0,-0.1494
1.0004,-2.4331e-24,6.2998e-05,-0.020978,1,0.00090511,0.068096,0,-0.1491
1.0005,-7.5934e-24,8.4487e-05,-0.020977,1,0.0012068,0.068128,0,-0.1488
1.0005,-1.219e-23,0.00010621,-0.020975,1,0.0015085,0.06816,0,-0.1485
1.0007,-5.0116e-24,0.00012841,-0.020975,1,0.0018102,0.068192,0,-0.1482
1.0008,-8.2529e-25,0.00015096,-0.020974,1,0.0021119,0.068224,0,-0.1479
1.0009,2.5354e-24,0.00017379,-0.020973,1,0.0024136,0.068256,0,-0.1476
1.0011,-1.6327e-23,0.00019707,-0.020973,1,0.0027153,0.068288,0,-0.1473
1.0012,-2.3382e-23,0.00022052,-0.020974,1,0.003017,0.06832,0,-0.147
1.0013,-1.2802e-23,0.00024421,-0.020974,1,0.0033187,0.068352,0,-0.1467
1.0015,2.4381e-23,0.0002681,-0.020975,1,0.0036204,0.068384,0,-0.1464
1.0016,5.2005e-23,0.00029213,-0.020976,1,0.0039221,0.068416,0,-0.1461
1.0018,1.2152e-24,0.00031632,-0.020977,1,0.0042238,0.068448,0,-0.1458
1.0019,-2.9146e-23,0.00034062,-0.020978,1,0.0045255,0.06848,0,-0.1455
1.0021,-4.0218e-23,0.00036503,-0.02098,1,0.0048272,0.068512,0,-0.1452
1.0022,-7.209e-24,0.00038954,-0.020982,1,0.0051289,0.068544,0,-0.1449
1.0024,1.6683e-23,0.00041412,-0.020985,1,0.0054306,0.068576,0,-0.1446
1.0025,2.5466e-23,0.00043877,-0.020987,1,0.0057323,0.068608,0,-0.1443
1.0027,3.6307e-23,0.00046347,-0.02099,1,0.006034,0.06864,0,-0.144
1.0028,4.3201e-23,0.00048823,-0.020993,1,0.0063357,0.068672,0,-0.1437
1.0029,7.7133e-25,0.00051305,-0.020997,1,0.0066374,0.068704,0,-0.1434
1.0031,-1.6503e-23,0.00053792,-0.021001,1,0.0069391,0.068736,0,-0.1431
1.0032,-1.2312e-23,0.00056287,-0.021005,1,0.0072408,0.068768,0,-0.1428
1.0034,-7.9299e-25,0.0005879,-0.021009,1,0.0075425,0.0688,0,-0.1425
1.0035,-5.2866e-24,0.00061301,-0.021013,1,0.0078442,0.068832,0,-0.1422
1.0036,-4.3559e-23,0.00063822,-0.021018,1,0.008146,0.068864,0,-0.1419
1.0038,-4.7262e-23,0.00066354,-0.021023,1,0.0084476,0.068896,0,-0.1416
1.0039,-2.5099e-23,0.00068894,-0.021029,1,0.0087494,0.068928,0,-0.1413
1.004,2.441e-23,0.00071446,-0.021034,1,0.0090511,0.06896,0,-0.141
1.0042,3.3911e-23,0.00074006,-0.02104,1,0.0093528,0.068992,0,-0.1407
1.0043,-2.1421e-24,0.00076573,-0.021046,1,0.0096545,0.069024,0,-0.1404
1.0044,2.1427e-23,0.0007915,-0.021053,1,0.0099562,0.069056,0,-0.1401
1.0046,1.825e-23,0.00081733,-0.02106,1,0.010258,0.069088,0,-0.1398
1.0047,-3.408e-23,0.00084326,-0.021067,1,0.01056,0.06912,0,-0.1395
1.0048,-3.3878e-23,0.00086929,-0.021074,1,0.010861,0.069152,0,-0.1392
1.005,-8.468e-24,0.0008954,-0.021082,1,0.011163,0.069184,0,-0.1389
1.0051,9.5201e-24,0.00092165,-0.02109,1,0.011465,0.069216,0,-0.1386
1.0052,-1.2816e-23,0.00094799,-0.021098,1,0.011766,0.069248,0,-0.1383
1.0054,-5.7553e-23,0.00097442,-0.021106,1,0.012068,0.06928,0,-0.138
1.0055,-1.6364e-24,0.001001,-0.021115,1,0.01237,0.069312,0,-0.1377
1.0056,3.9827e-23,0.0010276,-0.021124,1,0.012671,0.069344,0,-0.1374
1.0057,3.0418e-23,0.0010544,-0.021133,1,0.012973,0.069376,0,-0.1371
1.0059,4.5873e-24,0.0010812,-0.021143,1,0.013275,0.069408,0,-0.1368
1.006,-2.5863e-23,0.0011082,-0.021153,1,0.013577,0.06944,0,-0.1365
1.0061,-3.29e-23,0.0011353,-0.021163,1,0.013878,0.069472,0,-0.1362
1.0063,-2.0758e-23,0.0011625,-0.021173,1,0.01418,0.069504,0,-0.1359
1.0064,1.3913e-23,0.0011898,-0.021184,1,0.014482,0.069536,0,-0.1356
1.0065,1.8474e-23,0.0012173,-0.021195,1,0.014783,0.069568,0,-0.1353
1.0067,2.4514e-23,0.0012448,-0.021206,1,0.015085,0.0696,0,-0.135
1.0068,1.9976e-23,0.0012725,-0.021218,1,0.015387,0.069632,0,-0.1347
1.0069,1.6409e-23,0.0013004,-0.021229,1,0.015688,0.069664,0,-0.1344
