"U:0","U:1","U:2","p","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
1.0395,1.5053e-21,0.0092601,-0.035658,0,2.6842e-16,-0.21494,1.2794e-14,0,3.8237e-16,7.0585e-21,1,-8.8585e-19,0.03,0,0.072
1.0398,-3.0822e-22,0.0085775,-0.036022,0.0012688,-2.5181e-16,-0.21149,-2.3703e-14,-4.1204e-20,-4.4732e-16,6.7186e-21,1,-8.4464e-19,0.031319,7.1601e-25,0.072011
1.0402,-1.0349e-21,0.0078848,-0.036356,0.0025326,8.1731e-16,-0.20882,-2.3586e-14,7.9598e-20,6.385e-16,7.6619e-21,1,-9.6544e-19,0.032633,-2.044e-25,0.072022
1.0404,-2.9149e-22,0.0071817,-0.036652,0.0037913,1.8496e-17,-0.2197,6.3047e-15,5.2046e-19,6.2013e-17,1.0311e-10,1,-1.4901e-08,0.033942,-1.0504e-24,0.072031
1.0407,-2.2819e-22,0.0065717,-0.036883,0.0050496,3.6889e-16,-0.32135,-7.3053e-15,7.6254e-19,3.2275e-16,1.62e-10,1,-2.5809e-08,0.035251,-1.2799e-24,0.07204
1.0409,8.9e-25,0.0057512,-0.037161,0.006303,3.4651e-16,-0.21518,-5.0848e-15,1.1643e-18,3.1841e-16,1.6679e-10,1,-2.9802e-08,0.036556,-1.4807e-24,0.072048
1.0411,5.997e-23,0.0051665,-0.037335,0.0073135,-2.986e-16,-0.20967,-1.4993e-14,1.1368e-18,-3.73e-16,1.4785e-10,1,-2.9802e-08,0.037608,-1.4558e-24,0.072053
1.0413,2.0057e-23,0.0045786,-0.037481,0.008324,7.9045e-16,-0.20877,-1.5807e-14,1.3126e-18,7.2093e-16,1.3106e-10,1,-2.9802e-08,0.03866,-1.4447e-24,0.072058
1.0414,-1.7637e-23,0.0039876,-0.037608,0.0093345,3.8271e-16,-0.20598,-1.6458e-14,1.8383e-18,3.1969e-16,1.2764e-10,1,-3.332e-08,0.039712,-1.4293e-24,0.072062
1.0415,-7.4804e-23,0.0033944,-0.037718,0.010345,1.4935e-16,-0.21248,-7.8479e-15,2.0624e-18,1.2378e-16,1.19e-10,1,-3.65e-08,0.040764,-1.4816e-24,0.072066
